Year,IGDefaults,SpeculativeGradeDefaults,IG_No,SpeculativeGrade_No
1981,0,2,1064,321
1982,2,15,1093,340
1983,1,10,1114,341
1984,2,12,1174,368
1985,0,18,1210,418
1986,2,30,1327,530
1987,0,19,1324,681
1988,0,29,1337,756
1989,2,35,1381,751
1990,2,56,1426,692
1991,2,65,1465,589
1992,0,32,1617,526
1993,0,14,1769,561
1994,1,15,1853,714
1995,1,29,2061,825
1996,0,16,2263,890
1997,2,20,2512,1007
1998,4,49,2791,1324
1999,5,91,2893,1666
2000,7,108,2958,1783
2001,8,172,3035,1789
2002,13,158,3149,1713
2003,3,89,3068,1809
2004,1,39,3181,1926
2005,1,30,3290,2110
2006,0,25,3312,2255
2007,0,21,3393,2397
2008,14,88,3398,2528
2009,11,223,3445,2415
